target,alert_name,risk,confidence,url,param
dvwa,Missing Anti-clickjacking Header,Medium,Medium,http://host.docker.internal:8080/login.php,x-frame-options
dvwa,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,High,http://host.docker.internal:8080/login.php,
dvwa,Content Security Policy (CSP) Header Not Set,Medium,High,http://host.docker.internal:8080/login.php,
dvwa,Cookie No HttpOnly Flag,Low,Medium,http://host.docker.internal:8080/login.php,PHPSESSID
dvwa,Missing Anti-clickjacking Header,Medium,Medium,http://host.docker.internal:8080/index.php,x-frame-options
dvwa,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,High,http://host.docker.internal:8080/security.php,
dvwa,Cookie No HttpOnly Flag,Low,Medium,http://host.docker.internal:8080/login.php,security
dvwa,Cookie without SameSite Attribute,Low,Medium,http://host.docker.internal:8080/login.php,PHPSESSID
dvwa,Content Security Policy (CSP) Header Not Set,Medium,High,http://host.docker.internal:8080/index.php,
dvwa,Authentication Request Identified,Informational,High,http://host.docker.internal:8080/login.php,Login
dvwa,Cookie without SameSite Attribute,Low,Medium,http://host.docker.internal:8080/login.php,security
dvwa,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,High,http://host.docker.internal:8080/login.php,
dvwa,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,High,http://host.docker.internal:8080/index.php,
dvwa,X-Content-Type-Options Header Missing,Low,Medium,http://host.docker.internal:8080/login.php,x-content-type-options
dvwa,X-Content-Type-Options Header Missing,Low,Medium,http://host.docker.internal:8080/index.php,x-content-type-options
dvwa,Session Management Response Identified,Informational,High,http://host.docker.internal:8080/login.php,PHPSESSID
dvwa,Session Management Response Identified,Informational,Medium,http://host.docker.internal:8080/login.php,PHPSESSID
dvwa,Missing Anti-clickjacking Header,Medium,Medium,http://host.docker.internal:8080/security.php,x-frame-options
dvwa,Content Security Policy (CSP) Header Not Set,Medium,High,http://host.docker.internal:8080/sitemap.xml,
dvwa,Cookie No HttpOnly Flag,Low,Medium,http://host.docker.internal:8080,PHPSESSID
dvwa,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,High,http://host.docker.internal:8080/security.php,
dvwa,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,High,http://host.docker.internal:8080/robots.txt,
